timestamp,window_id,fault_type,date,duration,rps,replica_idx,label_trace,anomaly_node_ids,source_file
1692055915431000,23_0,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055920445000,23_1,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055925454000,23_2,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055930458000,23_3,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055935471000,23_4,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055940474000,23_5,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055945478000,23_6,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055950483000,23_7,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055955487000,23_8,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055960495000,23_9,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055965496000,23_10,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055970508000,23_11,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055975519000,23_12,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055980536000,23_13,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055985545000,23_14,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055990584000,23_15,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055995586000,23_16,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056000609000,23_17,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056005628000,23_18,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056010631000,23_19,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
