timestamp,window_id,fault_type,date,duration,rps,replica_idx,label_trace,anomaly_node_ids,source_file
1692055918819000,23_0,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055923845000,23_1,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055928882000,23_2,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055933885000,23_3,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055938889000,23_4,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055943919000,23_5,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055948932000,23_6,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055953946000,23_7,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055958992000,23_8,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055964003000,23_9,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055969029000,23_10,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055974034000,23_11,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055979035000,23_12,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055984039000,23_13,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055989052000,23_14,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055994056000,23_15,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692055999064000,23_16,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056004075000,23_17,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056009081000,23_18,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056014101000,23_19,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056019170000,23_20,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
1692056024179000,23_21,cpu,aug12,25min,200,0,0,[],cpu_aug12_25min_200_0_graph_2.csv
